dataelementUID,period,orgUnitUID,categoryOptionComboUID,ImplementingMechanismUID,dataValue,,
sNyI9S34XE2,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,51,,
sNyI9S34XE2,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,129,,
sNyI9S34XE2,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,105,,
sNyI9S34XE2,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,43,,
sNyI9S34XE2,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,7,,
sNyI9S34XE2,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,1,,
sNyI9S34XE2,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,1,,
VLfynOFRYlh,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,2,,
VLfynOFRYlh,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,2,,
VLfynOFRYlh,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,0,,
VLfynOFRYlh,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,uv5bz3PhcNC,VRVkk5IJ5H0,0,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,fp5lDb6VDKl,VRVkk5IJ5H0,0,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,QXlvFE1TwWE,VRVkk5IJ5H0,0,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,hME9Aib5Nt2,VRVkk5IJ5H0,4,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,XihRuQ4OzK7,VRVkk5IJ5H0,29,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,kvpYWIAxU3M,VRVkk5IJ5H0,27,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,Yoro0PHctSt,VRVkk5IJ5H0,14,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,urNcxdgKV4E,VRVkk5IJ5H0,4,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,mNs2cFcR4Kx,VRVkk5IJ5H0,0,,
ZGbRCL7mzav,201809,UZlFjPJGpjz,btv8socpQpp,VRVkk5IJ5H0,0,,
kVcZUOJY5NA,201809,UZlFjPJGpjz,janXJcbnVhV,VRVkk5IJ5H0,0,,
